year,cancerType,state,stat,value
2000,Infectious,CT,crude_rate,26.7
2001,Infectious,CT,deaths,897
2001,Infectious,CT,population,3432835
2001,Infectious,CT,crude_rate,26.1
2002,Infectious,CT,deaths,866
2002,Infectious,CT,population,3458749
2002,Infectious,CT,crude_rate,25
2003,Infectious,CT,deaths,983
2003,Infectious,CT,population,3484336
2003,Infectious,CT,crude_rate,28.2
2004,Infectious,CT,deaths,920
2004,Infectious,CT,population,3496094
2004,Infectious,CT,crude_rate,26.3
2005,Infectious,CT,deaths,1002
2005,Infectious,CT,population,3506956
2005,Infectious,CT,crude_rate,28.6
2006,Infectious,CT,deaths,996
2006,Infectious,CT,population,3517460
2006,Infectious,CT,crude_rate,28.3
2007,Infectious,CT,deaths,1055
2007,Infectious,CT,population,3527270
2007,Infectious,CT,crude_rate,29.9
2008,Infectious,CT,deaths,987
2008,Infectious,CT,population,3545579
2008,Infectious,CT,crude_rate,27.8
2009,Infectious,CT,deaths,1013
2009,Infectious,CT,population,3561807
2009,Infectious,CT,crude_rate,28.4
2010,Infectious,CT,deaths,1002
2010,Infectious,CT,population,3574097
2010,Infectious,CT,crude_rate,28
1999,Infectious,DE,deaths,209
1999,Infectious,DE,population,774990
1999,Infectious,DE,crude_rate,27
2000,Infectious,DE,deaths,255
2000,Infectious,DE,population,783600
2000,Infectious,DE,crude_rate,32.5
2001,Infectious,DE,deaths,234
2001,Infectious,DE,population,795699
2001,Infectious,DE,crude_rate,29.4
2002,Infectious,DE,deaths,262
2002,Infectious,DE,population,806169
2002,Infectious,DE,crude_rate,32.5
2003,Infectious,DE,deaths,247
2003,Infectious,DE,population,818003
2003,Infectious,DE,crude_rate,30.2
2004,Infectious,DE,deaths,242
2004,Infectious,DE,population,830803
2004,Infectious,DE,crude_rate,29.1
2005,Infectious,DE,deaths,251
2005,Infectious,DE,population,845150
2005,Infectious,DE,crude_rate,29.7
2006,Infectious,DE,deaths,222
2006,Infectious,DE,population,859268
2006,Infectious,DE,crude_rate,25.8
2007,Infectious,DE,deaths,231
2007,Infectious,DE,population,871749
2007,Infectious,DE,crude_rate,26.5
2008,Infectious,DE,deaths,276
2008,Infectious,DE,population,883874
2008,Infectious,DE,crude_rate,31.2
2009,Infectious,DE,deaths,257
2009,Infectious,DE,population,891730
2009,Infectious,DE,crude_rate,28.8
2010,Infectious,DE,deaths,250
2010,Infectious,DE,population,897934
2010,Infectious,DE,crude_rate,27.8
1999,Infectious,DC,deaths,457
1999,Infectious,DC,population,570213
1999,Infectious,DC,crude_rate,80.1
2000,Infectious,DC,deaths,434
2000,Infectious,DC,population,572059
2000,Infectious,DC,crude_rate,75.9
2001,Infectious,DC,deaths,374
2001,Infectious,DC,population,574504
2001,Infectious,DC,crude_rate,65.1
2002,Infectious,DC,deaths,403
2002,Infectious,DC,population,573158
2002,Infectious,DC,crude_rate,70.3
2003,Infectious,DC,deaths,405
2003,Infectious,DC,population,568502
2003,Infectious,DC,crude_rate,71.2
2004,Infectious,DC,deaths,395
2004,Infectious,DC,population,567754
2004,Infectious,DC,crude_rate,69.6
2005,Infectious,DC,deaths,399
2005,Infectious,DC,population,567136
2005,Infectious,DC,crude_rate,70.4
2006,Infectious,DC,deaths,386
2006,Infectious,DC,population,570681
2006,Infectious,DC,crude_rate,67.6
2007,Infectious,DC,deaths,351
2007,Infectious,DC,population,574404
2007,Infectious,DC,crude_rate,61.1
2008,Infectious,DC,deaths,329
2008,Infectious,DC,population,580236
2008,Infectious,DC,crude_rate,56.7
2009,Infectious,DC,deaths,302
2009,Infectious,DC,population,592228
2009,Infectious,DC,crude_rate,51
2010,Infectious,DC,deaths,258
2010,Infectious,DC,population,601723
2010,Infectious,DC,crude_rate,42.9
1999,Infectious,FL,deaths,4104
1999,Infectious,FL,population,15759421
1999,Infectious,FL,crude_rate,26
2000,Infectious,FL,deaths,4120
2000,Infectious,FL,population,15982378
2000,Infectious,FL,crude_rate,25.8
2001,Infectious,FL,deaths,4357
2001,Infectious,FL,population,16356966
2001,Infectious,FL,crude_rate,26.6
2002,Infectious,FL,deaths,4789
2002,Infectious,FL,population,16689370
2002,Infectious,FL,crude_rate,28.7
2003,Infectious,FL,deaths,4973
2003,Infectious,FL,population,17004085
2003,Infectious,FL,crude_rate,29.2
2004,Infectious,FL,deaths,5133
2004,Infectious,FL,population,17415318
2004,Infectious,FL,crude_rate,29.5
2005,Infectious,FL,deaths,5062
2005,Infectious,FL,population,17842038
2005,Infectious,FL,crude_rate,28.4
2006,Infectious,FL,deaths,5233
2006,Infectious,FL,population,18166990
2006,Infectious,FL,crude_rate,28.8
2007,Infectious,FL,deaths,4864
2007,Infectious,FL,population,18367842
2007,Infectious,FL,crude_rate,26.5
2008,Infectious,FL,deaths,4853
2008,Infectious,FL,population,18527305
2008,Infectious,FL,crude_rate,26.2
2009,Infectious,FL,deaths,4844
2009,Infectious,FL,population,18652644
2009,Infectious,FL,crude_rate,26
2010,Infectious,FL,deaths,4556
2010,Infectious,FL,population,18801310
2010,Infectious,FL,crude_rate,24.2
1999,Infectious,GA,deaths,2264
1999,Infectious,GA,population,8045965
1999,Infectious,GA,crude_rate,28.1
2000,Infectious,GA,deaths,2238
2000,Infectious,GA,population,8186453
2000,Infectious,GA,crude_rate,27.3
2001,Infectious,GA,deaths,2354
2001,Infectious,GA,population,8377038
2001,Infectious,GA,crude_rate,28.1
2002,Infectious,GA,deaths,2386
2002,Infectious,GA,population,8508256
2002,Infectious,GA,crude_rate,28
2003,Infectious,GA,deaths,2420
2003,Infectious,GA,population,8622793
2003,Infectious,GA,crude_rate,28.1
2004,Infectious,GA,deaths,2458
2004,Infectious,GA,population,8769252
2004,Infectious,GA,crude_rate,28
2005,Infectious,GA,deaths,2426
2005,Infectious,GA,population,8925922
2005,Infectious,GA,crude_rate,27.2
2006,Infectious,GA,deaths,2538
2006,Infectious,GA,population,9155813
2006,Infectious,GA,crude_rate,27.7
2007,Infectious,GA,deaths,2535
